license_num,status,license_type,issued,expires,business_name,dba_name,license_description,applicant,manager,day_phone,evening_phone,tot_capacity,fee_amt,capacity,end_time,unit_type,numberofunits,address,city,state,zip,neighborhood,police_dist,gpsx,gpsy
CAL-494243,Active,Non-Live Entertainment,N/A,N/A,"La Casa del Caffe, Inc.",Kicco Italian Coffee,1 Noise levels not to exceed 70 dB anytime may 50 between 11 00 PM 7 AM Perthe Boston Ordinance 2 No entertainment permitted outside 3 Takeout Only,Vittorio Wurzburger,Vittorio Wurzburger,(857)317-9040,N/A,0,0,0,9:00 PM,Audio Device,1,1-  Nashua ST,Boston,MA,2114,Downtown/Charlestown/North End,A-1,774185.5505,2958679.27
CAL-494243,Active,Non-Live Entertainment,N/A,N/A,"La Casa del Caffe, Inc.",Kicco Italian Coffee,1 Noise levels not to exceed 70 dB anytime may 50 between 11 00 PM 7 AM Perthe Boston Ordinance 2 No entertainment permitted outside 3 Takeout Only,Vittorio Wurzburger,Vittorio Wurzburger,(857)317-9040,N/A,0,360,0,N/A,Widescreen Television,2,1-  Nashua ST,Boston,MA,2114,Downtown/Charlestown/North End,A-1,774185.5505,2958679.27
CAL-511596,Active,Non-Live Entertainment,N/A,N/A,"LSF Park Square, LLC",Legal Sea Foods #515,1 Entertainment is NOT permitted outside 2 Noise levels not to exceed 70 decibels any time per city Boston s noise ordinance may 50 between 11pm 7am,Ralph Constantine,Ralph Constantine,N/A,N/A,300,0,300,2:00AM,Audio Device,1,300     Boylston ST,Boston,MA,2116,Back Bay/South End,D-4,772425.8382,2953527.477
CAL-511596,Active,Non-Live Entertainment,N/A,N/A,"LSF Park Square, LLC",Legal Sea Foods #515,1 Entertainment is NOT permitted outside 2 Noise levels not to exceed 70 decibels any time per city Boston s noise ordinance may 50 between 11pm 7am,Ralph Constantine,Ralph Constantine,N/A,N/A,300,1080,0,N/A,Widescreen Television,6,300     Boylston ST,Boston,MA,2116,Back Bay/South End,D-4,772425.8382,2953527.477
CAL-511625,Active,Non-Live Entertainment,10/28/22,12/31/22,"Mission Hill Hospitality, LLC",Yellow Door Taqueria,1 Entertainment is not permitted outside 2 Noise levels may exceed 70 decibels any time 50 between 11pm 7am per Boston Ordinance,Colleen Hagerty,Colleen Hagerty,(857)222-0914,N/A,49,360,0,N/A,Widescreen Television,2,1619     Tremont ST,Roxbury,MA,2120,Roxbury/Dorchester,B-2,763417,2946930
CAL-511625,Active,Non-Live Entertainment,10/28/22,12/31/22,"Mission Hill Hospitality, LLC",Yellow Door Taqueria,1 Entertainment is not permitted outside 2 Noise levels may exceed 70 decibels any time 50 between 11pm 7am per Boston Ordinance,Colleen Hagerty,Colleen Hagerty,(857)222-0914,N/A,49,0,49,1:00AM,Audio Device,1,1619     Tremont ST,Roxbury,MA,2120,Roxbury/Dorchester,B-2,763417,2946930
CAL-495220,Active,Non-Live Entertainment,10/21/22,12/31/22,"Two Greeks and a Persian, LLC",Kartel,1 Entertainment is NOT permitted outside 2 Noise levels not to exceed 70 decibels any time per city Boston s noise ordinance may 50 between 11pm 7am 3 Live entertainment ex DJ instrumental vocal without one license or an annual live,Shahrokh Reza,Shahrokh Reza,N/A,N/A,138,0,138,2:00AM,Audio Device,1,520-  Tremont ST,Roxbury,MA,2118,Back Bay/South End,D-4,772436.3396,2950908.749
CAL-495220,Active,Non-Live Entertainment,10/21/22,12/31/22,"Two Greeks and a Persian, LLC",Kartel,1 Entertainment is NOT permitted outside 2 Noise levels not to exceed 70 decibels any time per city Boston s noise ordinance may 50 between 11pm 7am 3 Live entertainment ex DJ instrumental vocal without one license or an annual live,Shahrokh Reza,Shahrokh Reza,N/A,N/A,138,360,0,N/A,Widescreen Television,2,520-  Tremont ST,Roxbury,MA,2118,Back Bay/South End,D-4,772436.3396,2950908.749
CAL-495145,Active,Non-Live Entertainment,10/20/22,12/31/22,"Madhouse Cafe, LLC",Madhouse Cafe,1 Entertainment is NOT permitted outside 2 Noise levels not to exceed 70 decibels any time per city Boston s noise ordinance may 50 between 11pm 7am,Julia Shia,Julia Shia,(617)686-0740,N/A,8,0,8,4:00 PM,Audio Device,1,24-   Blue Hill AVE,Boston,MA,2119,Mattapan/Dorchester,B-3,770972.9055,2943481.686
CAL-490510,Active,Live Entertainment,10/13/22,12/31/22,Puttshack Boston Seaport LLC,Puttshack,1 Live entertainment may be operated seven 7 days as follows Sunday Wednesday 11 00 m until 12 Thursday Satuday 2 Entertainment is not to exceed 70 decibels any time 50 between p per Boston Noise Ordinance 3 permitted outside,Laura Gallagher,Laura Gallagher,N/A,N/A,556,0,0,N/A,Audio Device,1,58-  Pier 4 Bl,Boston,MA,2210,South Boston,C-6,779424.4576,2952940.149
CAL-490510,Active,Live Entertainment,10/13/22,12/31/22,Puttshack Boston Seaport LLC,Puttshack,1 Live entertainment may be operated seven 7 days as follows Sunday Wednesday 11 00 m until 12 Thursday Satuday 2 Entertainment is not to exceed 70 decibels any time 50 between p per Boston Noise Ordinance 3 permitted outside,Laura Gallagher,Laura Gallagher,N/A,N/A,556,12780,0,N/A,Widescreen Television,71,58-  Pier 4 Bl,Boston,MA,2210,South Boston,C-6,779424.4576,2952940.149
CAL-490510,Active,Live Entertainment,10/13/22,12/31/22,Puttshack Boston Seaport LLC,Puttshack,1 Live entertainment may be operated seven 7 days as follows Sunday Wednesday 11 00 m until 12 Thursday Satuday 2 Entertainment is not to exceed 70 decibels any time 50 between p per Boston Noise Ordinance 3 permitted outside,Laura Gallagher,Laura Gallagher,N/A,N/A,556,1200,556,2:00AM,Disc Jockey,1,58-  Pier 4 Bl,Boston,MA,2210,South Boston,C-6,779424.4576,2952940.149
CAL-490510,Active,Live Entertainment,10/13/22,12/31/22,Puttshack Boston Seaport LLC,Puttshack,1 Live entertainment may be operated seven 7 days as follows Sunday Wednesday 11 00 m until 12 Thursday Satuday 2 Entertainment is not to exceed 70 decibels any time 50 between p per Boston Noise Ordinance 3 permitted outside,Laura Gallagher,Laura Gallagher,N/A,N/A,556,1200,0,N/A,Sporting/Athletic Event,556,58-  Pier 4 Bl,Boston,MA,2210,South Boston,C-6,779424.4576,2952940.149
CAL-494605,Active,Non-Live Entertainment,10/12/22,12/31/22,3W&Z CORP.,Taiwan Cafe,1 Noise levels not to exceed 70 dB any time may 50 between 11pm 7am per Boston Ordinance 2 Entertainment IS NOT permitted outside,Jessica Wang,Jessica Wang,N/A,N/A,48,0,48,1:00AM,Audio Device,1,34-   Oxford ST,Boston,MA,2111,Downtown/Charlestown/North End,A-1,775046,2953410
CAL-494121,Active,Non-Live Entertainment,10/5/22,12/31/22,Yak Thai Inc.,Thonglor,1 Noise levels not to exceed 70 dB any time may 50 between 11pm 7am per Boston Ordinance 2 Entertainment IS NOT permitted outside,Piyapong Wongla,Piyapong Wongla,(781)472-0835,(781)472-0835,32,0,32,11:00PM,Audio Device,1,559-  Washington ST,Brighton,MA,2135,Allston/Brighton,D-14,747073.2909,2952561.784
CAL-494121,Active,Non-Live Entertainment,10/5/22,12/31/22,Yak Thai Inc.,Thonglor,1 Noise levels not to exceed 70 dB any time may 50 between 11pm 7am per Boston Ordinance 2 Entertainment IS NOT permitted outside,Piyapong Wongla,Piyapong Wongla,(781)472-0835,(781)472-0835,32,180,0,N/A,Widescreen Television,1,559-  Washington ST,Brighton,MA,2135,Allston/Brighton,D-14,747073.2909,2952561.784
CAL-493561,Active,Non-Live Entertainment,9/29/22,12/31/22,"BR Kenmore, LLC",Pescador,1 Entertainment is not permitted outside 2 Noise levels to exceed 70 dB any time may 50 between 11pm 7am per Boston Ordinance,Robert Anderson,Robert Anderson,(203)733-6293,N/A,214,0,214,2:00AM,Audio Device,1,498-  Commonwealth AVE,Boston,MA,2215,Back Bay/South End,D-4,765428.4166,2952278.929
CAL-493561,Active,Non-Live Entertainment,9/29/22,12/31/22,"BR Kenmore, LLC",Pescador,1 Entertainment is not permitted outside 2 Noise levels to exceed 70 dB any time may 50 between 11pm 7am per Boston Ordinance,Robert Anderson,Robert Anderson,(203)733-6293,N/A,214,720,0,N/A,Widescreen Television,4,498-  Commonwealth AVE,Boston,MA,2215,Back Bay/South End,D-4,765428.4166,2952278.929
CAL-493566,Active,Non-Live Entertainment,9/27/22,12/31/22,"Mecha Noodle Bar Boston, LLC",Mecha Noodle Bar,1 Noise levels not to exceed 70 dB anytime may 50 between 11 00 PM 7 AM Perthe Boston Ordinance 2 No entertainment permitted outside 3 Please refer Inspection Certificate Place Assembly permit total capacity,CHARMALIE JAYASEKERA,CHARMALIE JAYASEKERA,N/A,N/A,105,0,105,12:00 AM,Audio Device,1,44-  Thomson PL,Boston,MA,2210,South Boston,C-6,778518.1564,2953535.095
CAL-493164,Active,Non-Live Entertainment,9/26/22,12/31/23,Bunker Hill Restaurant LLC,Waverly,1 Noise levels not to exceed 70 dB anytime may 50 between 11 00 PM 7 AM Perthe Boston Ordinance 2 No entertainment permitted outside 3 Please refer Inspection Certificate Place Assembly permit total capacity,Jon Sweeney,Jon Sweeney,(781)710-4290,N/A,79,180,0,N/A,Widescreen Television,1,229-  Bunker Hill ST,Charlestown,MA,2129,Downtown/Charlestown/North End,A-1,774159.6167,2963612.034
CAL-493177,Active,Non-Live Entertainment,9/26/22,12/31/22,N/A,Chattermark Distillers,1 Noise levels not to exceed 70 dB anytime may 50 between 11 00 PM 7 AM Perthe Boston Ordinance 2 No entertainment permitted outside 3 Please refer Inspection Certificate Place Assembly permit total capacity,John Sorgini,John Sorgini,(617)356-1866,N/A,40,0,40,10:00 PM,Audio Device,1,200     Terminal ST,Charlestown,MA,2129,Downtown/Charlestown/North End,A-1,777736.5376,2964977.563
